;Unnamed: 0;atletas.nome;atletas.slug;atletas.apelido;atletas.foto;atletas.atleta_id;atletas.rodada_id;atletas.clube_id;atletas.posicao_id;atletas.status_id;atletas.pontos_num;atletas.preco_num;atletas.variacao_num;atletas.media_num;atletas.jogos_num;atletas.clube.id.full.name;A;DS;FC;FD;FF;FS;G;I;PI;CA;FT;SG;GC;GS;DD;DP;CV;PP;rodada
446;447;Paulo Marcos de Jesus Ribeiro;paulao;Paulão;https://s.glbimg.com/es/sde/f/2019/11/14/7b85c924694c25ac9829f4379ef2b451_FORMATO.png;63172;30;356;zag;Provável;-0.9;2.92;-0.74;1.85;23;356;0.0;24.0;28.0;2.0;3.0;12.0;0.0;3.0;89.0;4.0;0.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;rodada-30.csv
447;448;Igor de Carvalho Julião;igor-juliao;Igor Julião;https://s.glbimg.com/es/sde/f/2020/08/11/2b7fa1291409b9d4149ac8bd9c461eb7_FORMATO.png;81951;30;266;lat;Nulo;0.0;5.11;0.0;2.94;17;266;3.0;35.0;39.0;1.0;7.0;30.0;0.0;2.0;113.0;5.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;rodada-30.csv
448;449;Iago Justen Maidana Martins;iago-maidana;Iago Maidana;https://s.glbimg.com/es/sde/f/2020/07/19/41ce77506da0f68a1af80fc131b3ce50_FORMATO.png;89226;30;292;zag;Provável;1.8;6.33;-0.41;2.26;26;292;0.0;37.0;30.0;2.0;8.0;16.0;3.0;0.0;166.0;6.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;rodada-30.csv
449;450;Emerson Raymundo Santos;emerson-santos;Emerson Santos;https://s.glbimg.com/es/sde/f/2020/02/28/4d5c465a6fd405b025d4ca76e81d24a1_FORMATO.png;86972;30;275;zag;Nulo;0.0;4.3;0.0;3.22;8;275;0.0;11.0;11.0;1.0;0.0;5.0;0.0;0.0;44.0;2.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;rodada-30.csv
450;451;José Rafael Vivian;ze-rafael;Zé Rafael;https://s.glbimg.com/es/sde/f/2020/03/09/ada4c949fbe8a7d69336cf1ccd4ad0e9_FORMATO.png;82455;30;275;mei;Dúvida;0.0;9.91;0.0;2.92;20;275;3.0;38.0;36.0;5.0;12.0;37.0;2.0;0.0;65.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;rodada-30.csv
451;452;Alisson Euler de Freitas Castro;alisson;Alisson;https://s.glbimg.com/es/sde/f/2018/05/18/eeeced6e37969b2b8161eb83c56d069e_FORMATO.png;81845;30;284;mei;Provável;0.0;10.34;0.0;5.04;16;284;4.0;20.0;15.0;14.0;19.0;45.0;1.0;4.0;135.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;rodada-30.csv
452;453;Raphael Cavalcante Veiga;raphael-veiga;Raphael Veiga;https://s.glbimg.com/es/sde/f/2020/10/05/eba17da38b8f96bc0a8b648fa5aa7acc_FORMATO.png;94509;30;275;mei;Provável;0.0;9.11;0.0;5.23;18;275;1.0;17.0;18.0;7.0;12.0;26.0;8.0;1.0;93.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;rodada-30.csv
453;454;Edenílson Andrade Dos Santos;edenilson;Edenílson;https://s.glbimg.com/es/sde/f/2020/02/27/dab4d223e4d736b3877f27a6b24a7a0e_FORMATO.png;63289;30;285;mei;Provável;-0.2;8.34;-1.16;3.08;25;285;5.0;43.0;38.0;7.0;12.0;30.0;3.0;3.0;183.0;6.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;rodada-30.csv
454;455;Guilherme Antonio Arana Lopes;guilherme-arana;Guilherme Arana;https://s.glbimg.com/es/sde/f/2020/08/31/cf251bf07d0350a8081b6b0e7bfb7950_FORMATO.png;87228;30;282;lat;Provável;3.6;16.79;-0.52;5.28;26;282;6.0;43.0;33.0;16.0;17.0;26.0;3.0;1.0;279.0;3.0;0.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;rodada-30.csv
455;456;Roberto Pimenta Vinagre Filho;betinho;Betinho;https://s.glbimg.com/es/sde/f/2020/02/27/d7282d39e0f03cd1978cb07173ea3ead_FORMATO.png;82876;30;292;mei;Provável;2.6;4.5;0.73;1.39;17;292;1.0;39.0;33.0;0.0;4.0;18.0;0.0;0.0;81.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;rodada-30.csv
